Molecule ChEMBL ID	Smiles	Standard Type	Standard Relation	Standard Value	Standard Unit
CHEMBL1078147	Cc1cccc2c1N(C(=O)SCC(=O)Nc1ccc(S(N)(=O)=O)cc1Cl)CCC2	IC50	=	6.0	nM
CHEMBL4293640	Cc1cc(C)c(Nc2ccnc(Nc3ccc(Cl)cc3)n2)c(C)c1	IC50	=	199.53	nM
CHEMBL70663	Cc1cc(C)c(Nc2ccnc(Nc3ccc(C#N)cc3)n2)c(C)c1	IC50	=	3.981	nM
CHEMBL4294297	Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)ncc1SCC(=O)NCC1CCCO1	IC50	=	13.0	nM
CHEMBL234400	Cc1cc(C)cc(Cn2c(=O)[nH]c3ccc(Cl)cc32)c1	IC50	=	150.0	nM
CHEMBL2151844	Cc1cc(S(N)(=O)=O)ccc1NC(=O)COc1ccc(Cl)cc1NC(=O)c1cc(Cl)cc(C#N)c1	IC50	=	2.05	nM
CHEMBL3415140	Cc1cc(C)c(Oc2nc(Nc3ccc(CC#N)cc3)cn3ccnc23)c(C)c1	IC50	=	360.0	nM
CHEMBL3263471	Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NCCc3cccc(Cl)c3)[nH]c3ccc(Cl)cc23)c1	IC50	=	83.0	nM
CHEMBL1257664	Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(c3cccc(C(N)=O)c3)CC2)ncc1F	IC50	=	14.0	nM
CHEMBL1270511	NCc1ccc(-c2cccc(Cc3cc(=O)n(O)c4ncccc34)c2)cc1	IC50	=	100.0	nM
CHEMBL4580833	COc1ccc(NC(=O)Nc2sc(-c3ccc(Cl)c(Cl)c3)cc2C(=O)O)cc1	IC50	=	800.0	nM
CHEMBL4483433	O=C(Nc1ccc(F)cc1)Nc1sc(-c2ccc(Cl)c(Cl)c2)cc1C(=O)O	IC50	=	700.0	nM
CHEMBL469985	Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NCCC(N)=O)[nH]c3ccc(Cl)cc23)c1	IC50	=	143.0	nM
CHEMBL512263	O=C(c1ccc(Cl)cc1)c1cc(Cc2ccc(=O)[nH]n2)cc2ccoc12	IC50	=	360.0	nM
CHEMBL3426953	Cc1cc(C#N)cc(C)c1Oc1ccnc(NC2CCN(CC(=O)Nc3ccccc3)CC2)n1	IC50	=	199.0	nM
CHEMBL444940	CCCOCCCNC(=S)Nc1cc(OC)c(Cl)cc1OC	IC50	=	510.0	nM
CHEMBL393190	CC(C)(C)c1ccc(-n2nnnc2SCC(=O)Nc2ccc(-c3ccc(C(C)(C)C(=O)O)cc3)cc2Cl)c(Cl)c1	IC50	=	10.0	nM
CHEMBL491019	N#Cc1cc(Cl)cc(Oc2cc(OCc3n[nH]c4ncccc34)ccc2Cl)c1	IC50	=	0.4	nM
CHEMBL520032	Cc1ccc2c(c1)C(=O)N(CCOC(=S)N(C(=O)c1ccc(Cl)cc1)c1ccc([N+](=O)[O-])cc1)C2=O	IC50	=	300.0	nM
CHEMBL3397645	Cc1cc(OCC(=O)Nc2cccc(Cl)c2)nc(Nc2ccc(C#N)cc2)n1	IC50	=	540.0	nM
CHEMBL177491	CCc1c(C)[nH]c(=O)c(NCc2ccccc2)c1Cc1cc(C)cc(C)c1	IC50	=	251.0	nM
CHEMBL1257788	Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(c3cccc(C(N)=O)c3)CC2)ncc1N	IC50	=	19.0	nM
CHEMBL1258478	Cc1cc(C#N)cc(C)c1Nc1nc(NC2CCN(c3cccc(C(N)=O)c3)CC2)ncc1Br	IC50	=	19.0	nM
CHEMBL3347422	N#Cc1cc(Cl)cc(Oc2cc(CCc3cccc(Cl)c3)[nH]c(=O)c2Cl)c1	IC50	=	12.0	nM
CHEMBL560783	CCc1c(Sc2cc(C)cc(C)c2)n(CC2CC2)c(=O)[nH]c1=O	IC50	=	18.0	nM
CHEMBL470007	Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NCCS(N)(=O)=O)[nH]c3ccc(Cl)cc23)c1	IC50	=	0.4	nM
CHEMBL2163842	Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NCc3ccncc3)[nH]c3ccc(Cl)cc23)c1	IC50	=	21.0	nM
CHEMBL473119	Cc1n[nH]c2ccc(F)c(Oc3cc(C#N)cc(C#N)c3)c12	IC50	=	50.0	nM
CHEMBL339511	CCc1c(C)[nH]c(=O)c(NC)c1Cc1cc(C)cc(C)c1	IC50	=	10.0	nM
CHEMBL468627	Cc1cc(C)cc(Cc2c3c([nH]c(=O)c2N(C)C)CCCC3)c1	IC50	=	10.0	nM
CHEMBL368999	Cc1cc(C)cc(Cc2c(C)c(C(C)C)[nH]c(=O)c2N(C)C)c1	IC50	=	794.0	nM
CHEMBL3358170	Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NCc3ccco3)[nH]c3ccc(Cl)cc23)c1	IC50	=	234.0	nM
CHEMBL3358174	Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NCCn3c([N+](=O)[O-])cnc3C)[nH]c3ccc(Cl)cc23)c1	IC50	=	131.0	nM
CHEMBL3426962	Cc1cc(C#N)cc(C)c1Oc1ccnc(NC2CCN(CC(=O)Nc3ccc(F)cc3)CC2)n1	IC50	=	204.0	nM
CHEMBL3358160	Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)Nc3cccc(N)c3)[nH]c3ccc(Cl)cc23)c1	IC50	=	19.0	nM
CHEMBL2397405	O=c1[nH]c(-c2ccc(O)c(O)c2)nc2sc3c(c12)CCCCCC3	IC50	=	260.0	nM
CHEMBL513868	O=c1ccc(Cc2cc(Oc3cccc(Cl)c3)c3occc3c2)n[nH]1	IC50	=	1000.0	nM
CHEMBL479032	O=c1ccc(Cc2ccc(Cl)c(Oc3ccccc3)c2F)n[nH]1	IC50	=	100.0	nM
CHEMBL477192	O=c1[nH]c2cc(F)c(Cl)cc2n1Cc1cc(F)cc(F)c1	IC50	=	3.0	nM
CHEMBL309896	O=C1Nc2ccc(Cl)cc2[C@@](C#Cc2ccccn2)(C2CC2)N1	IC50	=	12.0	nM
CHEMBL450764	O=c1[nH]c2ccc(C(F)(F)F)cc2n1Cc1c(F)cccc1F	IC50	=	17.0	nM
CHEMBL4526732	Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2sccc12	IC50	=	130.0	nM
CHEMBL507164	N#Cc1cc(Cl)cc(Oc2cc(OCc3n[nH]c4cccnc34)ccc2Cl)c1	IC50	=	740.0	nM
CHEMBL456649	N#Cc1cc(Cl)cc(Oc2c(Br)ccc(Cc3n[nH]c4nnccc34)c2F)c1	IC50	=	3.0	nM
CHEMBL477144	Cc1cc(Cc2ccc(Cl)c(Oc3ccccc3)c2F)n[nH]c1=O	IC50	=	210.0	nM
CHEMBL393003	O=c1[nH]c2ccc(Cl)cc2n1Cc1c(F)cccc1F	IC50	=	700.0	nM
CHEMBL474104	Cc1ccc(-n2c(C)cnc2SCC(=O)Nc2ccc(-c3ccc(CC(=O)O)cc3)cc2Cl)c(Cl)c1	IC50	=	9.5	nM
CHEMBL4441757	Cc1cc(-c2ccc(C#N)cc2F)ccc1Oc1nc(Nc2ccc(C#N)cc2)nc2ccsc12	IC50	=	62.0	nM
CHEMBL4438918	Cc1cc(-c2ccc(Oc3nc(Nc4ccc(C#N)cc4)nc4ccsc34)cc2C)ccc1C#N	IC50	=	42.0	nM
CHEMBL562588	Cc1cc(C)cc(Sc2c(C(C)C)c(=O)[nH]c(=O)n2CC2CCC2)c1	IC50	=	20.0	nM
CHEMBL3426956	Cc1ccc(NC(=O)CN2CCC(Nc3nccc(Oc4c(C)cc(C#N)cc4C)n3)CC2)cc1	IC50	=	181.0	nM
CHEMBL1766221	Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NCc3ccccc3)[nH]c3ccc(Cl)cc23)c1	IC50	=	21.0	nM
CHEMBL1766234	Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NCCc3ccccc3)[nH]c3ccc(Br)cc23)c1	IC50	=	128.0	nM
CHEMBL1766320	Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NCCOc3ccccc3)[nH]c3ccc([N+](=O)[O-])cc23)c1	IC50	=	950.0	nM
CHEMBL560077	O=c1[nH]c2ccc(Cl)cc2n1S(=O)(=O)c1cc(Cl)cc(Cl)c1	IC50	=	3.0	nM
CHEMBL224590	CCOc1cccc(C2(CC)Oc3ccccc3-n3cccc3C2=O)c1	IC50	=	200.0	nM
CHEMBL225416	CCC1(c2cccc(Cl)c2)Oc2ccccc2-n2cccc2C1=O	IC50	=	600.0	nM
CHEMBL342620	CCC1(c2ccc(C)cc2)Oc2ccccc2-n2cccc2C1=O	IC50	=	750.0	nM
CHEMBL258936	Cc1cn([C@H]2CO[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O	IC50	=	300.0	nM
CHEMBL1079267	NS(=O)(=O)c1ccc(NC(=O)CSC(=O)N2CCCc3cc(Cl)cc(Cl)c32)c(Cl)c1	IC50	=	1.0	nM
CHEMBL553470	CCc1c(Oc2cc(C)cc(C)c2)n(CC2CC2)c(=O)[nH]c1=O	IC50	=	16.0	nM
CHEMBL254357	NS(=O)(=O)c1ccc(NC(=O)COc2cc(Cl)cc(Oc3ccccc3)c2)c(Cl)c1	IC50	=	25.0	nM
CHEMBL466773	C[C@@H]1Oc2c3c(c4c(-c5ccccc5)cc(=O)oc4c2[C@@H](O)[C@H]1C)OC(C)(C)C=C3	IC50	=	730.0	nM
CHEMBL475311	Cc1ccc(-n2nccc2SCC(=O)Nc2ccc(-c3ccc(CC(=O)O)cc3)cc2Cl)c(Cl)c1	IC50	=	7.9	nM
CHEMBL140665	CCC1(c2cccc(OC)c2)Oc2ccccc2-n2cccc2C1=O	IC50	=	11.0	nM
CHEMBL562061	Cc1cc(C)cc(Sc2c(C(C)C)c(=O)[nH]c(=O)n2CC2CCCC2)c1	IC50	=	129.0	nM
CHEMBL223769	CCC1(c2ccc(COc3ccccc3)cc2)Oc2ccccc2-n2cccc2C1=O	IC50	=	700.0	nM
CHEMBL474490	C/C(=C/CCC(=O)Nc1ccc(-c2ccc(OCC(=O)O)cc2)cc1Cl)c1ccc(C)cc1Cl	IC50	=	15.0	nM
CHEMBL550916	Cc1cc(C)cc(Sc2c(C(C)C)c(=O)[nH]c(=O)n2CC2CC2)c1	IC50	=	3.0	nM
CHEMBL557439	Cc1cc(C)cc(C(=O)c2c(C(C)C)c(=O)[nH]c(=O)n2CC2CCCC2)c1	IC50	=	147.0	nM
CHEMBL558404	Cc1cc(C)cc(Oc2c(C(C)C)c(=O)[nH]c(=O)n2CC2=CCCC2)c1	IC50	=	32.0	nM
CHEMBL561859	CC(C)c1c(Sc2ccccc2)n(CC2CC=CC2)c(=O)[nH]c1=O	IC50	=	244.0	nM
CHEMBL308004	Cc1cnc(Nc2ccc(C#N)cc2)nc1Nc1c(C)cc(C#N)cc1C	IC50	=	0.8	nM
CHEMBL3263459	COc1ccc(CNC(=O)c2[nH]c3ccc(Cl)cc3c2S(=O)(=O)c2cc(C)cc(C)c2)cc1	IC50	=	3.7	nM
CHEMBL1958265	O=C1Nc2ccccc2/C1=N/Nc1nc(-c2ccc(O)c(O)c2)cs1	IC50	=	900.0	nM
CHEMBL1270510	NCc1ccc(-c2cccc(-c3cc(=O)n(O)c4ncccc34)c2)cc1	IC50	=	130.0	nM
CHEMBL1078260	Cc1cc(C)c(N(C)C(=O)SCC(=O)Nc2ccc(S(N)(=O)=O)cc2Cl)c(C)c1	IC50	=	8.0	nM
CHEMBL484287	CCOc1ccc2[nH]c(=S)n3c2c1CN(C=C(C)C)[C@@H](C)C3	IC50	=	95.94	nM
CHEMBL485105	CC(C)=CN1CCn2c(=S)[nH]c3cc(Cl)cc(c32)C1	IC50	=	162.18	nM
CHEMBL3415148	Cc1cc(Br)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)cn2ccnc12	IC50	=	410.0	nM
CHEMBL3327153	CSc1nc2ncnc(NC(P(=O)(O)O)P(=O)(O)O)c2cc1-c1ccc(OC(C)C)cc1	IC50	=	800.0	nM
CHEMBL4079763	Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NCc3ccc4nc(N)[nH]c4c3)[nH]c3ccc(Cl)cc23)c1	IC50	=	284.0	nM
CHEMBL4070872	Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)N[C@@H](C)C(=O)NCc3ccncn3)[nH]c3ccc(Cl)cc23)c1	IC50	=	470.0	nM
CHEMBL3621612	CC1=C(/N=N/c2ccccc2)N=C(N2Nc3onc(-c4ccccc4)c3C2c2ccc(Cl)cc2)NN1	IC50	=	0.045	nM
CHEMBL1170006	Cc1cc(C#N)cc(C)c1Oc1ccnc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3Cl)CC2)n1	IC50	=	105.0	nM
CHEMBL1169811	Cc1cc(C#N)cc(C)c1Oc1ccnc(NC2CCN(Cc3ccc(S(C)(=O)=O)cc3)CC2)n1	IC50	=	72.0	nM
CHEMBL1170378	Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccccc3C#N)CC2)ncc1Br	IC50	=	43.0	nM
CHEMBL292891	COc1cc(C)cc(Sc2cccc(N)c2C#N)c1	IC50	=	141.25	nM
CHEMBL232377	NS(=O)(=O)c1ccc(NC(=O)CSc2nnnn2-c2ccc(C3CC3)cc2Cl)c(Cl)c1	IC50	=	5.0	nM
CHEMBL2397551	Cn1cc(-c2cnc3oc4c(-c5cscn5)nc(=O)n(CCC5CCCO5)c4c3c2)cn1	IC50	=	9.9	nM
CHEMBL391298	O=C(CSc1nnnn1-c1ccc(C2CC2)cc1Cl)Nc1ccc(C(=O)O)cc1Cl	IC50	=	16.0	nM
CHEMBL1077757	NS(=O)(=O)c1ccc(NC(=O)C2CC2C(=O)N2CCCc3cc(Cl)cc(Cl)c32)c(Cl)c1	IC50	=	18.0	nM
CHEMBL1230	Nc1ccn([C@@H]2CS[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)n1	IC50	=	15.0	nM
CHEMBL4561250	Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2c1CCC2	IC50	=	91.0	nM
CHEMBL3290938	O=c1nc(N2CCC(F)(F)CC2)c2cccnc2n1O	IC50	=	501.0	nM
CHEMBL4437134	COc1cc(-c2ccc(C#N)cc2)ccc1Nc1ccnc(Nc2ccc(C#N)cc2)n1	IC50	=	6.0	nM
CHEMBL4468717	Cc1cc(-c2ccc(C#N)cc2)c(Cl)cc1Oc1ccnc(Nc2ccc(C#N)cc2)n1	IC50	=	18.8	nM
CHEMBL3290945	O=c1nc(NCc2ccc(N3CCOCC3)cc2)c2cccnc2n1O	IC50	=	100.0	nM
CHEMBL175691	Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1	IC50	=	21.0	nM
CHEMBL4094163	Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2ccsc12	IC50	=	301.0	nM
CHEMBL3929927	Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)nc2ccsc12	IC50	=	71.0	nM
CHEMBL71881	C#Cc1cnc(Nc2ccc(C#N)cc2)nc1Nc1c(C)cc(C)cc1C	IC50	=	4.2	nM
CHEMBL3621606	Cc1nc(N2Nc3onc(-c4ccccc4)c3C2c2ccc(Cl)cc2)sc1/N=N/c1ccc(Cl)cc1	IC50	=	0.035	nM
CHEMBL4168889	Cc1cccc(-c2cc(C)c(Nc3ccnc(Nc4ccc(C#N)cc4)n3)c(C)c2)c1	IC50	=	30.0	nM
CHEMBL4450262	CC1(C)OC(=O)Nc2cccc(Oc3cc(Cl)cc(C#N)c3)c21	IC50	=	894.0	nM
CHEMBL2397402	O=c1[nH]c(-c2ccc(O)c(O)c2)nc2sc3c(c12)CCC3	IC50	=	320.0	nM
CHEMBL3236715	Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc2[nH]ccc12	IC50	=	16.0	nM
CHEMBL4440030	COc1cc2nc([S+]([O-])CC(=O)Nc3ccc([N+](=O)[O-])cc3)nc(Nc3c(C)cc(/C=C/C#N)cc3C)c2cc1OC	IC50	=	11.0	nM
CHEMBL3358171	Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NCc3cccs3)[nH]c3ccc(Cl)cc23)c1	IC50	=	100.0	nM
CHEMBL3621609	Cc1nc(N2Nc3onc(-c4ccccc4)c3C2c2ccc(Cl)cc2)sc1/N=N/c1ccc([N+](=O)[O-])cc1	IC50	=	0.027	nM
CHEMBL312764	Cc1cc(C#N)cc(C)c1Nc1nc(Nc2ccc(C#N)cc2)ncc1Cl	IC50	=	144.0	nM
CHEMBL2397399	CCCc1c(C)sc2nc(-c3ccc(O)c(O)c3)[nH]c(=O)c12	IC50	=	490.0	nM
CHEMBL3621387	Cc1cc(C#N)cc(C)c1Oc1ccnc(S(=O)(=O)CC(=O)Nc2ccc(Cl)cc2)n1	IC50	=	720.0	nM
CHEMBL4520472	Cc1cc(C#N)cc(C)c1Oc1ccnc(Nc2ccc(CNC3CCN(C(=O)OC(C)(C)C)CC3)cc2)n1	IC50	=	277.0	nM
CHEMBL3621607	Cc1nc(N2Nc3onc(-c4ccccc4)c3C2c2ccc(Cl)cc2)sc1/N=N/c1ccc(Br)cc1	IC50	=	0.016	nM
CHEMBL4452136	Cc1cc(C#N)cc(C)c1Oc1ccnc(Nc2ccc(CN3CCN(S(C)(=O)=O)CC3)cc2)n1	IC50	=	49.0	nM
CHEMBL4209237	COc1ccc2ccccc2c1/C=N/NC(=O)c1ccc(-c2ccccc2)cc1	IC50	=	500.0	nM
CHEMBL3342978	N#Cc1cc2c(Oc3ccc(F)cc3OCCn3ccc(=O)[nH]c3=O)cc(F)cn2c1	IC50	=	4.5	nM
