frag_ref	frag	score
6ooy_A7M_frag1	2hnd_NVP_frag4	0.33121
6ooy_A7M_frag1	3c6t_M14_frag1	0.5253
6ooy_A7M_frag1	3c6t_M14_frag2	0.54086
6ooy_A7M_frag1	3c6t_M14_frag3	0.51315
6ooy_A7M_frag1	3c6t_M14_frag4	0.51636
6ooy_A7M_frag1	3c6t_M14_frag5	0.5441
6ooy_A7M_frag1	3c6t_M14_frag6	0.5441
6ooy_A7M_frag1	3c6t_M14_frag7	0.51388
6ooy_A7M_frag1	3c6t_M14_frag8	0.49657
6ooy_A7M_frag1	3c6t_M14_frag9	0.44934
6ooy_A7M_frag1	3c6t_M14_frag10	0.49657
6ooy_A7M_frag1	3c6t_M14_frag11	0.49945
6ooy_A7M_frag1	3c6t_M14_frag12	0.47179
6ooy_A7M_frag1	3c6t_M14_frag13	0.40838
6ooy_A7M_frag1	3c6t_M14_frag14	0.39814
6ooy_A7M_frag1	3c6t_M14_frag15	0.3941
6ooy_A7M_frag1	3c6t_M14_frag16	0.39814
6ooy_A7M_frag1	3c6t_M14_frag17	0.44986
6ooy_A7M_frag1	3c6t_M14_frag18	0.37167
6ooy_A7M_frag1	3c6t_M14_frag19	0.36119
6ooy_A7M_frag1	3c6t_M14_frag20	0.34159
6ooy_A7M_frag1	3c6t_M14_frag21	0.36653
6ooy_A7M_frag1	3c6t_M14_frag22	0.36174
6ooy_A7M_frag1	3c6t_M14_frag23	0.34103
6ooy_A7M_frag1	3c6t_M14_frag24	0.35441
6ooy_A7M_frag1	3c6t_M14_frag25	0.33946
6ooy_A7M_frag1	3c6t_M14_frag26	0.33112
6ooy_A7M_frag1	1rt4_UC1_frag1	0.5442
6ooy_A7M_frag1	1rt4_UC1_frag2	0.51702
6ooy_A7M_frag1	1rt4_UC1_frag3	0.442
6ooy_A7M_frag1	1rt4_UC1_frag4	0.45543
6ooy_A7M_frag1	1rt4_UC1_frag5	0.40243
6ooy_A7M_frag1	1rt4_UC1_frag6	0.40678
6ooy_A7M_frag1	1rt4_UC1_frag7	0.37161
6ooy_A7M_frag1	1rt4_UC1_frag8	0.37324
6ooy_A7M_frag1	1rt4_UC1_frag9	0.3405
6ooy_A7M_frag1	1rt4_UC1_frag10	0.34955
6ooy_A7M_frag1	1rt4_UC1_frag11	0.33301
6ooy_A7M_frag1	1fk9_EFZ_frag1	0.53077
6ooy_A7M_frag1	1fk9_EFZ_frag2	0.50543
6ooy_A7M_frag1	1fk9_EFZ_frag3	0.45674
6ooy_A7M_frag1	1fk9_EFZ_frag4	0.52213
6ooy_A7M_frag1	1fk9_EFZ_frag5	0.48456
6ooy_A7M_frag1	1fk9_EFZ_frag6	0.43651
6ooy_A7M_frag1	1fk9_EFZ_frag7	0.3322
6ooy_A7M_frag1	1fk9_EFZ_frag8	0.34726
6ooy_A7M_frag1	1fk9_EFZ_frag9	0.34384
6ooy_A7M_frag1	1fk9_EFZ_frag10	0.33128
6ooy_A7M_frag1	1rt6_UC3_frag1	0.54779
6ooy_A7M_frag1	1rt6_UC3_frag2	0.49645
6ooy_A7M_frag1	1rt6_UC3_frag3	0.48006
6ooy_A7M_frag1	1rt6_UC3_frag4	0.40468
6ooy_A7M_frag1	1rt6_UC3_frag5	0.41582
6ooy_A7M_frag1	1rt6_UC3_frag6	0.34459
6ooy_A7M_frag1	2rki_TT1_frag1	0.45755
6ooy_A7M_frag1	2rki_TT1_frag2	0.47306
6ooy_A7M_frag1	2rki_TT1_frag3	0.54141
6ooy_A7M_frag1	2rki_TT1_frag4	0.48174
6ooy_A7M_frag1	2rki_TT1_frag5	0.45512
6ooy_A7M_frag1	2rki_TT1_frag6	0.53078
6ooy_A7M_frag1	2rki_TT1_frag7	0.46794
6ooy_A7M_frag1	2rki_TT1_frag8	0.56168
6ooy_A7M_frag1	2rki_TT1_frag9	0.44193
6ooy_A7M_frag1	2rki_TT1_frag10	0.44169
6ooy_A7M_frag1	2rki_TT1_frag11	0.46765
6ooy_A7M_frag1	2rki_TT1_frag12	0.46445
6ooy_A7M_frag1	2rki_TT1_frag13	0.38648
6ooy_A7M_frag1	2rki_TT1_frag14	0.33764
6ooy_A7M_frag1	2rki_TT1_frag15	0.39173
6ooy_A7M_frag1	2rki_TT1_frag16	0.37118
6ooy_A7M_frag1	2rki_TT1_frag17	0.33733
6ooy_A7M_frag1	1tkt_H12_frag1	0.56436
6ooy_A7M_frag1	1tkt_H12_frag2	0.47525
6ooy_A7M_frag1	1tkt_H12_frag3	0.47525
6ooy_A7M_frag1	1tkt_H12_frag4	0.35271
6ooy_A7M_frag1	1tkt_H12_frag5	0.35271
6ooy_A7M_frag1	1tkt_H12_frag6	0.33706
6ooy_A7M_frag1	1tkt_H12_frag7	0.33092
6ooy_A7M_frag1	1c0u_BM5_frag1	0.50168
6ooy_A7M_frag1	1c0u_BM5_frag2	0.50045
6ooy_A7M_frag1	1c0u_BM5_frag3	0.46602
6ooy_A7M_frag1	1c0u_BM5_frag4	0.46476
6ooy_A7M_frag1	1c0u_BM5_frag5	0.33112
6ooy_A7M_frag1	1lw0_NVP_frag1	0.57936
6ooy_A7M_frag1	1lw0_NVP_frag2	0.49476
6ooy_A7M_frag1	1lw0_NVP_frag3	0.33817
6ooy_A7M_frag1	1lw0_NVP_frag4	0.33388
6ooy_A7M_frag1	1s1v_TNK_frag1	0.49656
6ooy_A7M_frag1	1s1v_TNK_frag2	0.45579
6ooy_A7M_frag1	1s1v_TNK_frag3	0.51117
6ooy_A7M_frag1	1s1v_TNK_frag4	0.43936
6ooy_A7M_frag1	1s1v_TNK_frag5	0.36604
6ooy_A7M_frag1	1s1v_TNK_frag6	0.3687
6ooy_A7M_frag1	1s1v_TNK_frag7	0.33947
6ooy_A7M_frag1	1s1v_TNK_frag8	0.33301
6ooy_A7M_frag1	1s1v_TNK_frag9	0.33247
6ooy_A7M_frag1	3dok_GWJ_frag1	0.579
6ooy_A7M_frag1	3dok_GWJ_frag2	0.58576
6ooy_A7M_frag1	3dok_GWJ_frag3	0.57605
6ooy_A7M_frag1	3dok_GWJ_frag4	0.58127
6ooy_A7M_frag1	3dok_GWJ_frag5	0.60344
6ooy_A7M_frag1	3dok_GWJ_frag6	0.5849
6ooy_A7M_frag1	3dok_GWJ_frag7	0.52521
6ooy_A7M_frag1	3dok_GWJ_frag8	0.5163
6ooy_A7M_frag1	3dok_GWJ_frag9	0.59032
6ooy_A7M_frag1	3dok_GWJ_frag10	0.51284
6ooy_A7M_frag1	3dok_GWJ_frag11	0.56518
6ooy_A7M_frag1	3dok_GWJ_frag12	0.48857
6ooy_A7M_frag1	3dok_GWJ_frag13	0.47416
6ooy_A7M_frag1	3dok_GWJ_frag14	0.48381
6ooy_A7M_frag1	3dok_GWJ_frag15	0.45243
6ooy_A7M_frag1	3dok_GWJ_frag16	0.40275
6ooy_A7M_frag1	3dok_GWJ_frag17	0.37639
6ooy_A7M_frag1	3dok_GWJ_frag18	0.44857
6ooy_A7M_frag1	3dok_GWJ_frag19	0.35922
6ooy_A7M_frag1	3dok_GWJ_frag20	0.4539
6ooy_A7M_frag1	3dok_GWJ_frag21	0.36436
6ooy_A7M_frag1	3dok_GWJ_frag22	0.35168
6ooy_A7M_frag1	3dok_GWJ_frag23	0.42586
6ooy_A7M_frag1	3dok_GWJ_frag24	0.37313
6ooy_A7M_frag1	3dok_GWJ_frag25	0.33706
6ooy_A7M_frag1	3dok_GWJ_frag26	0.35497
6ooy_A7M_frag1	3dok_GWJ_frag27	0.34117
6ooy_A7M_frag1	3dok_GWJ_frag28	0.33124
6ooy_A7M_frag1	3dok_GWJ_frag29	0.33112
6ooy_A7M_frag1	1rt5_UC2_frag1	0.56488
6ooy_A7M_frag1	1rt5_UC2_frag2	0.54628
6ooy_A7M_frag1	1rt5_UC2_frag3	0.46332
6ooy_A7M_frag1	1rt5_UC2_frag4	0.47026
6ooy_A7M_frag1	1rt5_UC2_frag5	0.41187
6ooy_A7M_frag1	1rt5_UC2_frag6	0.42203
6ooy_A7M_frag1	1rt5_UC2_frag7	0.3771
6ooy_A7M_frag1	1rt5_UC2_frag8	0.38894
6ooy_A7M_frag1	1rt5_UC2_frag9	0.34252
6ooy_A7M_frag1	1rt5_UC2_frag10	0.34855
6ooy_A7M_frag1	1rt5_UC2_frag11	0.33301
6ooy_A7M_frag1	1vru_AAP_frag1	0.49656
6ooy_A7M_frag1	1vru_AAP_frag2	0.48571
6ooy_A7M_frag1	1vru_AAP_frag3	0.39305
6ooy_A7M_frag1	1vru_AAP_frag4	0.43482
6ooy_A7M_frag1	1vru_AAP_frag5	0.4027
6ooy_A7M_frag1	1vru_AAP_frag6	0.38032
6ooy_A7M_frag1	1vru_AAP_frag7	0.35116
6ooy_A7M_frag1	1vru_AAP_frag8	0.33479
6ooy_A7M_frag1	1vru_AAP_frag9	0.34375
6ooy_A7M_frag1	1vru_AAP_frag10	0.33381
6ooy_A7M_frag1	1fko_EFZ_frag1	0.55397
6ooy_A7M_frag1	1fko_EFZ_frag2	0.48943
6ooy_A7M_frag1	1fko_EFZ_frag3	0.45311
6ooy_A7M_frag1	1fko_EFZ_frag4	0.54973
6ooy_A7M_frag1	1fko_EFZ_frag5	0.47546
6ooy_A7M_frag1	1fko_EFZ_frag6	0.44048
6ooy_A7M_frag1	1fko_EFZ_frag7	0.33112
6ooy_A7M_frag1	1fko_EFZ_frag8	0.34977
6ooy_A7M_frag1	1fko_EFZ_frag9	0.34458
6ooy_A7M_frag1	1fko_EFZ_frag10	0.33134
6ooy_A7M_frag1	1lwc_NVP_frag1	0.56223
6ooy_A7M_frag1	1lwc_NVP_frag2	0.47999
6ooy_A7M_frag1	1lwc_NVP_frag3	0.33858
6ooy_A7M_frag1	1lwc_NVP_frag4	0.33322
6ooy_A7M_frag1	1s1u_NVP_frag1	0.57595
6ooy_A7M_frag1	1s1u_NVP_frag2	0.46007
6ooy_A7M_frag1	1s1u_NVP_frag3	0.33875
6ooy_A7M_frag1	1s1u_NVP_frag4	0.33302
6ooy_A7M_frag1	1rt2_TNK_frag1	0.50167
6ooy_A7M_frag1	1rt2_TNK_frag2	0.49936
6ooy_A7M_frag1	1rt2_TNK_frag3	0.51295
6ooy_A7M_frag1	1rt2_TNK_frag4	0.48721
6ooy_A7M_frag1	1rt2_TNK_frag5	0.38301
6ooy_A7M_frag1	1rt2_TNK_frag6	0.35523
6ooy_A7M_frag1	1rt2_TNK_frag7	0.34069
6ooy_A7M_frag1	1rt2_TNK_frag8	0.34097
6ooy_A7M_frag1	1rt2_TNK_frag9	0.33631
6ooy_A7M_frag1	3di6_PDZ_frag1	0.53992
6ooy_A7M_frag1	3di6_PDZ_frag2	0.45685
6ooy_A7M_frag1	3di6_PDZ_frag3	0.45685
6ooy_A7M_frag1	3di6_PDZ_frag4	0.47909
6ooy_A7M_frag1	3di6_PDZ_frag5	0.37537
6ooy_A7M_frag1	3di6_PDZ_frag6	0.37537
6ooy_A7M_frag1	3di6_PDZ_frag7	0.40167
6ooy_A7M_frag1	3di6_PDZ_frag8	0.36391
6ooy_A7M_frag1	3di6_PDZ_frag9	0.36391
6ooy_A7M_frag1	3di6_PDZ_frag11	0.3411
6ooy_A7M_frag1	1jla_TNK_frag1	0.49185
6ooy_A7M_frag1	1jla_TNK_frag2	0.49869
6ooy_A7M_frag1	1jla_TNK_frag3	0.48545
6ooy_A7M_frag1	1jla_TNK_frag4	0.469
6ooy_A7M_frag1	1jla_TNK_frag5	0.37751
6ooy_A7M_frag1	1jla_TNK_frag6	0.36189
6ooy_A7M_frag1	1jla_TNK_frag7	0.33463
6ooy_A7M_frag1	1jla_TNK_frag8	0.34915
6ooy_A7M_frag1	1jla_TNK_frag9	0.33787
6ooy_A7M_frag1	1tkz_H16_frag1	0.56723
6ooy_A7M_frag1	1tkz_H16_frag2	0.51884
6ooy_A7M_frag1	1tkz_H16_frag3	0.48197
6ooy_A7M_frag1	1tkz_H16_frag4	0.34487
6ooy_A7M_frag1	1tkz_H16_frag5	0.34487
6ooy_A7M_frag1	1tkz_H16_frag6	0.34382
6ooy_A7M_frag1	1tkz_H16_frag7	0.33119
6ooy_A7M_frag1	3drr_R8E_frag1	0.53481
6ooy_A7M_frag1	3drr_R8E_frag2	0.53481
6ooy_A7M_frag1	3drr_R8E_frag3	0.45996
6ooy_A7M_frag1	3drr_R8E_frag4	0.52155
6ooy_A7M_frag1	3drr_R8E_frag5	0.52155
6ooy_A7M_frag1	3drr_R8E_frag6	0.45996
6ooy_A7M_frag1	3drr_R8E_frag7	0.45996
6ooy_A7M_frag1	3drr_R8E_frag8	0.45996
6ooy_A7M_frag1	3drr_R8E_frag9	0.49671
6ooy_A7M_frag1	3drr_R8E_frag10	0.36517
6ooy_A7M_frag1	3drr_R8E_frag11	0.34576
6ooy_A7M_frag1	3drr_R8E_frag12	0.36517
6ooy_A7M_frag1	3drr_R8E_frag13	0.34576
6ooy_A7M_frag1	3drr_R8E_frag14	0.36517
6ooy_A7M_frag1	3drr_R8E_frag15	0.34576
6ooy_A7M_frag1	3drr_R8E_frag16	0.36517
6ooy_A7M_frag1	3drr_R8E_frag17	0.34576
6ooy_A7M_frag1	3drr_R8E_frag18	0.33525
6ooy_A7M_frag1	3drr_R8E_frag19	0.33092
6ooy_A7M_frag1	3drr_R8E_frag20	0.33419
6ooy_A7M_frag1	3nbp_JGZ_frag1	0.52531
6ooy_A7M_frag1	3nbp_JGZ_frag2	0.52591
6ooy_A7M_frag1	3nbp_JGZ_frag3	0.53863
6ooy_A7M_frag1	3nbp_JGZ_frag4	0.53902
6ooy_A7M_frag1	3nbp_JGZ_frag5	0.57616
6ooy_A7M_frag1	3nbp_JGZ_frag6	0.56207
6ooy_A7M_frag1	3nbp_JGZ_frag7	0.6241
6ooy_A7M_frag1	3nbp_JGZ_frag8	0.62409
6ooy_A7M_frag1	3nbp_JGZ_frag9	0.59482
6ooy_A7M_frag1	3nbp_JGZ_frag10	0.55413
6ooy_A7M_frag1	3nbp_JGZ_frag11	0.56819
6ooy_A7M_frag1	3nbp_JGZ_frag12	0.55431
6ooy_A7M_frag1	3nbp_JGZ_frag13	0.56028
6ooy_A7M_frag1	3nbp_JGZ_frag14	0.55666
6ooy_A7M_frag1	3nbp_JGZ_frag15	0.54274
6ooy_A7M_frag1	3nbp_JGZ_frag16	0.53959
6ooy_A7M_frag1	3nbp_JGZ_frag17	0.5685
6ooy_A7M_frag1	3nbp_JGZ_frag18	0.51758
6ooy_A7M_frag1	3nbp_JGZ_frag19	0.5375
6ooy_A7M_frag1	3nbp_JGZ_frag20	0.52288
6ooy_A7M_frag1	3nbp_JGZ_frag21	0.38976
6ooy_A7M_frag1	3nbp_JGZ_frag22	0.39312
6ooy_A7M_frag1	3nbp_JGZ_frag23	0.38114
6ooy_A7M_frag1	3nbp_JGZ_frag24	0.38515
6ooy_A7M_frag1	3nbp_JGZ_frag25	0.39401
6ooy_A7M_frag1	3nbp_JGZ_frag26	0.37199
6ooy_A7M_frag1	3nbp_JGZ_frag27	0.43874
6ooy_A7M_frag1	3nbp_JGZ_frag28	0.38235
6ooy_A7M_frag1	3nbp_JGZ_frag29	0.371
6ooy_A7M_frag1	3nbp_JGZ_frag30	0.42406
6ooy_A7M_frag1	3nbp_JGZ_frag31	0.35149
6ooy_A7M_frag1	3nbp_JGZ_frag32	0.36185
6ooy_A7M_frag1	3nbp_JGZ_frag33	0.35283
6ooy_A7M_frag1	3nbp_JGZ_frag34	0.33119
6ooy_A7M_frag1	3nbp_JGZ_frag35	0.33119
6ooy_A7M_frag1	3nbp_JGZ_frag36	0.33092
6ooy_A7M_frag1	3nbp_JGZ_frag37	0.33863
6ooy_A7M_frag1	3lak_KR1_frag1	0.50015
6ooy_A7M_frag1	3lak_KR1_frag2	0.50015
6ooy_A7M_frag1	3lak_KR1_frag3	0.49708
6ooy_A7M_frag1	3lak_KR1_frag4	0.48777
6ooy_A7M_frag1	3lak_KR1_frag5	0.49708
6ooy_A7M_frag1	3lak_KR1_frag6	0.48777
6ooy_A7M_frag1	3lak_KR1_frag7	0.43187
6ooy_A7M_frag1	3lak_KR1_frag8	0.43187
6ooy_A7M_frag1	3lak_KR1_frag9	0.36613
6ooy_A7M_frag1	3lak_KR1_frag10	0.37789
6ooy_A7M_frag1	3lak_KR1_frag11	0.36613
6ooy_A7M_frag1	3lak_KR1_frag12	0.35145
6ooy_A7M_frag1	3lak_KR1_frag13	0.35145
6ooy_A7M_frag1	3lak_KR1_frag14	0.34363
6ooy_A7M_frag1	3lak_KR1_frag15	0.33112
6ooy_A7M_frag1	3lak_KR1_frag16	0.33092
6ooy_A7M_frag1	3lak_KR1_frag17	0.33344
6ooy_A7M_frag1	3lak_KR1_frag18	0.34096
6ooy_A7M_frag1	3lak_KR1_frag19	0.33769
6ooy_A7M_frag1	1s1w_UC1_frag1	0.5939
6ooy_A7M_frag1	1s1w_UC1_frag2	0.53996
6ooy_A7M_frag1	1s1w_UC1_frag3	0.47811
6ooy_A7M_frag1	1s1w_UC1_frag4	0.46381
6ooy_A7M_frag1	1s1w_UC1_frag5	0.39008
6ooy_A7M_frag1	1s1w_UC1_frag6	0.4488
6ooy_A7M_frag1	1s1w_UC1_frag7	0.35772
6ooy_A7M_frag1	1s1w_UC1_frag8	0.36981
6ooy_A7M_frag1	1s1w_UC1_frag9	0.3567
6ooy_A7M_frag1	1s1w_UC1_frag10	0.36675
6ooy_A7M_frag1	1s1w_UC1_frag11	0.33112
6ooy_A7M_frag1	3dya_PZL_frag1	0.52222
6ooy_A7M_frag1	3dya_PZL_frag2	0.52222
6ooy_A7M_frag1	3dya_PZL_frag3	0.42765
6ooy_A7M_frag1	3dya_PZL_frag4	0.44117
6ooy_A7M_frag1	3dya_PZL_frag5	0.42765
6ooy_A7M_frag1	3dya_PZL_frag6	0.44117
6ooy_A7M_frag1	3dya_PZL_frag7	0.35339
6ooy_A7M_frag1	3dya_PZL_frag8	0.35339
6ooy_A7M_frag1	3dya_PZL_frag9	0.3401
6ooy_A7M_frag1	3dya_PZL_frag10	0.3401
6ooy_A7M_frag1	3dya_PZL_frag11	0.40602
6ooy_A7M_frag1	3dya_PZL_frag12	0.3401
6ooy_A7M_frag1	3dya_PZL_frag13	0.3401
6ooy_A7M_frag1	3dya_PZL_frag14	0.33124
6ooy_A7M_frag1	3dya_PZL_frag15	0.33092
6ooy_A7M_frag1	3dya_PZL_frag16	0.33652
6ooy_A7M_frag1	1jlb_NVP_frag1	0.58318
6ooy_A7M_frag1	1jlb_NVP_frag2	0.50719
6ooy_A7M_frag1	1jlb_NVP_frag3	0.34785
6ooy_A7M_frag1	1jlb_NVP_frag4	0.34109
6ooy_A7M_frag1	1jlc_FTC_frag1	0.52646
6ooy_A7M_frag1	1jlc_FTC_frag2	0.51513
6ooy_A7M_frag1	1jlc_FTC_frag3	0.51416
6ooy_A7M_frag1	1jlc_FTC_frag4	0.4725
6ooy_A7M_frag1	1jlc_FTC_frag5	0.48478
6ooy_A7M_frag1	1jlc_FTC_frag6	0.37078
6ooy_A7M_frag1	1jlc_FTC_frag7	0.41962
6ooy_A7M_frag1	1jlc_FTC_frag8	0.33372
6ooy_A7M_frag1	3drp_R8E_frag1	0.5547
6ooy_A7M_frag1	3drp_R8E_frag2	0.5547
6ooy_A7M_frag1	3drp_R8E_frag3	0.45094
6ooy_A7M_frag1	3drp_R8E_frag4	0.53594
6ooy_A7M_frag1	3drp_R8E_frag5	0.53594
6ooy_A7M_frag1	3drp_R8E_frag6	0.45094
6ooy_A7M_frag1	3drp_R8E_frag7	0.45094
6ooy_A7M_frag1	3drp_R8E_frag8	0.45094
6ooy_A7M_frag1	3drp_R8E_frag9	0.52165
6ooy_A7M_frag1	3drp_R8E_frag10	0.36972
6ooy_A7M_frag1	3drp_R8E_frag11	0.33517
6ooy_A7M_frag1	3drp_R8E_frag12	0.36972
6ooy_A7M_frag1	3drp_R8E_frag13	0.33517
6ooy_A7M_frag1	3drp_R8E_frag14	0.36972
6ooy_A7M_frag1	3drp_R8E_frag15	0.33517
6ooy_A7M_frag1	3drp_R8E_frag16	0.36972
6ooy_A7M_frag1	3drp_R8E_frag17	0.33517
6ooy_A7M_frag1	3drp_R8E_frag18	0.34058
6ooy_A7M_frag1	3drp_R8E_frag19	0.3313
6ooy_A7M_frag1	3drp_R8E_frag20	0.33542
6ooy_A7M_frag1	3lp1_NVP_frag1	0.51137
6ooy_A7M_frag1	3lp1_NVP_frag2	0.49562
6ooy_A7M_frag1	3lp1_NVP_frag3	0.33726
6ooy_A7M_frag1	3lp1_NVP_frag4	0.33389
6ooy_A7M_frag1	3dle_GFA_frag1	0.53411
6ooy_A7M_frag1	3dle_GFA_frag2	0.52114
6ooy_A7M_frag1	3dle_GFA_frag3	0.51472
6ooy_A7M_frag1	3dle_GFA_frag4	0.47119
6ooy_A7M_frag1	3dle_GFA_frag5	0.47069
6ooy_A7M_frag1	3dle_GFA_frag6	0.46003
6ooy_A7M_frag1	3dle_GFA_frag7	0.40301
6ooy_A7M_frag1	3dle_GFA_frag8	0.45854
6ooy_A7M_frag1	3dle_GFA_frag9	0.42072
6ooy_A7M_frag1	3dle_GFA_frag10	0.36919
6ooy_A7M_frag1	3dle_GFA_frag11	0.36625
6ooy_A7M_frag1	3dle_GFA_frag12	0.35625
6ooy_A7M_frag1	3dle_GFA_frag13	0.36222
6ooy_A7M_frag1	3dle_GFA_frag14	0.34158
6ooy_A7M_frag1	1rt7_UC4_frag1	0.5915
6ooy_A7M_frag1	1rt7_UC4_frag2	0.53897
6ooy_A7M_frag1	1rt7_UC4_frag3	0.51843
6ooy_A7M_frag1	1rt7_UC4_frag4	0.45052
6ooy_A7M_frag1	1rt7_UC4_frag5	0.46784
6ooy_A7M_frag1	1rt7_UC4_frag6	0.40673
6ooy_A7M_frag1	1rt7_UC4_frag7	0.40141
6ooy_A7M_frag1	1rt7_UC4_frag8	0.37617
6ooy_A7M_frag1	1rt7_UC4_frag9	0.35877
6ooy_A7M_frag1	1rt7_UC4_frag10	0.33872
6ooy_A7M_frag1	1rt7_UC4_frag11	0.3322
6ooy_A7M_frag1	1lwf_NVP_frag1	0.55701
6ooy_A7M_frag1	1lwf_NVP_frag2	0.46987
6ooy_A7M_frag1	1lwf_NVP_frag3	0.3455
6ooy_A7M_frag1	1lwf_NVP_frag4	0.33127
6ooy_A7M_frag1	1rev_TB9_frag1	0.53821
6ooy_A7M_frag1	1rev_TB9_frag2	0.34166
6ooy_A7M_frag1	1rev_TB9_frag3	0.33112
6ooy_A7M_frag1	3mec_65B_frag1	0.50528
6ooy_A7M_frag1	3mec_65B_frag2	0.50528
6ooy_A7M_frag1	3mec_65B_frag3	0.50528
6ooy_A7M_frag1	3mec_65B_frag4	0.50528
6ooy_A7M_frag1	3mec_65B_frag5	0.50695
6ooy_A7M_frag1	3mec_65B_frag6	0.50662
6ooy_A7M_frag1	3mec_65B_frag7	0.50695
6ooy_A7M_frag1	3mec_65B_frag8	0.50423
6ooy_A7M_frag1	3mec_65B_frag9	0.50662
6ooy_A7M_frag1	3mec_65B_frag10	0.47075
6ooy_A7M_frag1	3mec_65B_frag11	0.50423
6ooy_A7M_frag1	3mec_65B_frag12	0.47075
6ooy_A7M_frag1	3mec_65B_frag13	0.41548
6ooy_A7M_frag1	3mec_65B_frag14	0.405
6ooy_A7M_frag1	3mec_65B_frag15	0.38544
6ooy_A7M_frag1	3mec_65B_frag16	0.3778
6ooy_A7M_frag1	3mec_65B_frag17	0.41051
6ooy_A7M_frag1	3mec_65B_frag18	0.40835
6ooy_A7M_frag1	3mec_65B_frag19	0.41051
6ooy_A7M_frag1	3mec_65B_frag20	0.44109
6ooy_A7M_frag1	3mec_65B_frag21	0.40835
6ooy_A7M_frag1	3mec_65B_frag22	0.42406
6ooy_A7M_frag1	3mec_65B_frag23	0.44109
6ooy_A7M_frag1	3mec_65B_frag24	0.42406
6ooy_A7M_frag1	3mec_65B_frag25	0.33119
6ooy_A7M_frag1	3mec_65B_frag26	0.33896
6ooy_A7M_frag1	3mec_65B_frag27	0.33119
6ooy_A7M_frag1	3mec_65B_frag28	0.33112
6ooy_A7M_frag1	3mec_65B_frag29	0.3415
